TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE
21:00:00	D1P	
21:04:00	CJA	Khedira
21:05:00	TIR	Götze
21:17:00	TIR	Kroos
21:36:00	CJA	Ozil
21:45:00	TIR	Khedira
21:46:00	CJA	Maczynski
21:48:00	F1P	
22:01:00	D2P	
22:03:00	TIR	Milik
22:04:00	TIR	Götze
22:12:00	CJA	Grosicki
22:16:00	TIR	Milik
22:23:00	CGT	Götze ; Schurrle
22:24:00	CJA	Boateng
22:26:00	TIR	Milik
22:27:00	TIR	Ozil
22:29:00	CGT	Draxler ; Gomez
22:33:00	CGT	Maczynski ; Jodlowiec
22:35:00	TIR	Milik
22:37:00	CGT	Blaszczykowski ; Kaputska
22:41:00	TIR	Grosicki
22:52:00	F2P	
