TEMPS ABSOLU (HH:MIN)	EVENEMENT	ANNOTATION COMPLEMENTAIRE	
15:00:00	D1P		
15:02:00	TIR	Rakitic	
15:09:00	TIR	Çalhanoğlu	
15:13:00	TIR	Tufan 	
15:28:00	TIR	Modric	
15:30:00	TIR	Tufan	
15:32:00	CJA	Tosun	
15:39:00	TIR	Mandzukic	
15:41:00	BUT	Modric	
15:48:00	F1P		
16:03:00	D2P		
16:04:00	CGT	Ozyakup;Sen	
16:06:00	TIR	Sen	
16:07:00	CJA	Balta	
16:08:00	TIR	Mandzukic	
16:12:00	TIR	Srna	
16:19:00	TIR	Brozovic 	
16:23:00	CGT	Turan;Yilmaz	
16:27:00	CGT	Tosun;Mor	 
16:29:00	TIR	Çalhanoğlu	
16:30:00	TIR	Perisic	
16:37:00	TIR	Brosovic	
16:37:00	TIR	Badelj	
16:38:00	CJA	Strinic	
16:40:00	TIR	Perisic	
16:43:00	CGT	Perisic;Kramaric	
16:47:00	CGT	Rakitic;Schildenfeld	
16:49:00	CJA	Sen	
16:50:00	CGT	Mandzukic;Pjaca	
16:53:00	F2P		
